scientific_name,requested_scientific_name,taxon_id,priority_group,matched_status,role,pre_cap_count,selected_count,held_aside_count,train,val,test,calibration
Acer rubrum,Acer rubrum,usda:ACRU,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Acer saccharum,Acer saccharum,usda:ACSA3,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Achillea millefolium,Achillea millefolium,usda:ACMI2,medicinal_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Actaea pachypoda,Actaea pachypoda,usda:ACPA,toxic_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Actaea rubra,Actaea rubra,usda:ACRU2,toxic_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Allium canadense,Allium canadense,usda:ALCA3,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Allium tricoccum,Allium tricoccum,usda:ALTR3,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Amelanchier alnifolia,Amelanchier alnifolia,usda:AMAL2,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Asimina triloba,Asimina triloba,usda:ASTR,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Atropa belladonna,Atropa belladonna,gbif:3802655,toxic_review_candidate,gbif_exact_species_match,output_class,2,2,0,2,0,0,0
Betula papyrifera,Betula papyrifera,usda:BEPA,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Carya ovata,Carya ovata,usda:CAOV2,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Cicuta douglasii,Cicuta douglasii,usda:CIDO,lookalike_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Cicuta maculata,Cicuta maculata,usda:CIMA2,lookalike_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Conium maculatum,Conium maculatum,usda:COMA2,lookalike_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Daucus carota,Daucus carota,usda:DACA6,lookalike_review_candidate,exact_usda_name_match,output_class,9110,500,8610,350,50,50,50
Digitalis purpurea,Digitalis purpurea,usda:DIPU,toxic_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Echinacea purpurea,Echinacea purpurea,usda:ECPU,medicinal_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Fagus grandifolia,Fagus grandifolia,usda:FAGR,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Fragaria virginiana,Fragaria virginiana,usda:FRVI,foraging_review_candidate,exact_usda_name_match,output_class,127,127,0,88,13,13,13
Juglans nigra,Juglans nigra,usda:JUNI,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Juniperus virginiana,Juniperus virginiana,usda:JUVI,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Liriodendron tulipifera,Liriodendron tulipifera,usda:LITU,common_tree_review_candidate,exact_usda_name_match,output_class,2726,500,2226,350,50,50,50
Nerium oleander,Nerium oleander,usda:NEOL,toxic_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Opuntia humifusa,Opuntia humifusa,usda:OPHU,foraging_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Phytolacca americana,Phytolacca americana,usda:PHAM4,toxic_review_candidate,exact_usda_name_match,output_class,500,500,0,350,50,50,50
Pinus strobus,Pinus strobus,usda:PIST,common_tree_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
Plantago major,Plantago major,usda:PLMA2,medicinal_review_candidate,exact_usda_name_match,output_class,100,100,0,70,10,10,10
